Date,Open,High,Low,Close,Adj Close,Volume
5-Jul-17,"21,492.83","21,505.36","21,404.76","21,478.17","21,478.17","273,690,000"
3-Jul-17,"21,392.30","21,562.75","21,391.71","21,479.27","21,479.27","186,810,000"
30-Jun-17,"21,348.60","21,426.12","21,325.08","21,349.63","21,349.63","313,260,000"
29-Jun-17,"21,487.38","21,487.38","21,197.08","21,287.03","21,287.03","336,750,000"
28-Jun-17,"21,372.36","21,478.75","21,372.36","21,454.61","21,454.61","271,510,000"
27-Jun-17,"21,411.19","21,440.60","21,310.66","21,310.66","21,310.66","292,170,000"
26-Jun-17,"21,434.68","21,506.21","21,381.25","21,409.55","21,409.55","241,880,000"
23-Jun-17,"21,380.92","21,421.79","21,333.89","21,394.76","21,394.76","368,400,000"
22-Jun-17,"21,407.98","21,456.47","21,394.81","21,397.29","21,397.29","270,680,000"
21-Jun-17,"21,466.39","21,492.62","21,390.00","21,410.03","21,410.03","292,500,000"
20-Jun-17,"21,521.25","21,535.03","21,464.24","21,467.14","21,467.14","310,200,000"
19-Jun-17,"21,444.75","21,528.99","21,436.08","21,528.99","21,528.99","289,400,000"
16-Jun-17,"21,335.93","21,384.42","21,308.01","21,384.28","21,384.28","603,260,000"
15-Jun-17,"21,291.69","21,367.28","21,261.87","21,359.90","21,359.90","317,200,000"
14-Jun-17,"21,342.71","21,391.97","21,294.09","21,374.56","21,374.56","295,090,000"
13-Jun-17,"21,256.83","21,332.77","21,256.83","21,328.47","21,328.47","323,510,000"
12-Jun-17,"21,259.95","21,277.08","21,186.15","21,235.67","21,235.67","528,080,000"
9-Jun-17,"21,208.96","21,305.35","21,159.45","21,271.97","21,271.97","397,200,000"
8-Jun-17,"21,169.76","21,265.69","21,138.16","21,182.53","21,182.53","330,330,000"
7-Jun-17,"21,171.57","21,189.84","21,113.31","21,173.69","21,173.69","273,400,000"
6-Jun-17,"21,145.48","21,180.47","21,118.46","21,136.23","21,136.23","283,550,000"
5-Jun-17,"21,195.03","21,224.41","21,168.69","21,184.04","21,184.04","269,790,000"
2-Jun-17,"21,142.09","21,225.04","21,129.56","21,206.29","21,206.29","329,700,000"
